iter	Passed	Remaining
455	928	1107
456	930	1105
457	931	1102
458	933	1099
459	934	1096
460	935	1094
461	937	1091
462	938	1088
463	940	1086
464	941	1083
465	943	1080
466	944	1078
467	946	1075
468	947	1073
469	949	1070
470	950	1067
471	952	1064
472	953	1062
473	956	1060
474	957	1058
475	959	1055
476	960	1053
477	961	1050
478	963	1047
479	964	1044
480	966	1042
481	967	1040
482	969	1037
483	970	1035
484	972	1032
485	973	1029
486	975	1027
487	976	1024
488	978	1022
489	979	1019
490	981	1017
491	983	1015
492	985	1013
493	986	1010
494	988	1008
495	989	1005
496	990	1002
497	992	1000
498	993	997
499	995	995
500	997	993
501	998	990
502	1000	988
503	1001	985
504	1002	982
505	1004	980
506	1005	977
507	1006	974
508	1007	972
509	1009	969
510	1011	967
511	1012	965
512	1014	963
513	1016	960
514	1017	958
515	1020	956
516	1021	954
517	1023	952
518	1024	949
519	1028	949
520	1030	947
521	1032	945
522	1033	942
523	1035	940
524	1036	938
525	1038	935
526	1040	933
527	1042	931
528	1044	929
529	1046	927
530	1047	925
531	1048	922
532	1050	920
533	1052	918
534	1053	915
535	1056	914
536	1058	912
537	1059	910
538	1061	907
539	1063	905
540	1065	904
541	1067	901
542	1069	900
543	1071	898
544	1073	896
545	1075	893
546	1077	892
547	1079	890
548	1081	888
549	1083	886
550	1085	884
551	1087	882
552	1088	880
553	1090	877
554	1091	875
555	1093	873
556	1095	871
557	1096	868
558	1098	866
559	1100	864
560	1102	862
561	1103	860
562	1105	858
563	1107	856
564	1109	854
565	1110	851
566	1112	849
567	1124	855
568	1133	858
569	1135	856
570	1137	854
571	1139	852
572	1143	852
573	1146	851
574	1148	849
575	1150	847
576	1152	844
577	1153	842
578	1155	839
579	1156	837
580	1158	835
581	1159	833
582	1161	830
583	1162	828
584	1164	825
585	1165	823
586	1166	820
587	1168	818
588	1169	816
589	1170	813
590	1172	811
591	1173	808
592	1175	806
593	1177	804
594	1178	802
595	1179	799
596	1181	797
597	1182	794
598	1183	792
599	1185	790
600	1186	788
601	1188	785
602	1190	783
603	1191	781
604	1193	779
605	1194	776
606	1196	774
607	1197	772
608	1198	769
609	1200	767
610	1202	765
611	1204	763
612	1205	760
613	1206	758
614	1208	756
615	1209	753
616	1210	751
617	1212	749
618	1213	747
619	1215	744
620	1216	742
621	1218	740
622	1220	738
623	1221	736
624	1222	733
625	1224	731
626	1225	728
627	1226	726
628	1227	724
629	1229	721
630	1231	719
631	1232	717
632	1234	715
633	1235	713
634	1236	710
635	1238	708
636	1239	706
637	1240	703
638	1241	701
639	1243	699
640	1244	697
641	1246	694
642	1247	692
643	1249	690
644	1250	688
645	1251	685
646	1253	683
647	1254	681
648	1255	679
649	1256	676
650	1258	674
651	1259	672
652	1261	670
653	1263	668
654	1264	665
655	1265	663
656	1266	661
657	1268	659
658	1269	656
659	1270	654
660	1271	652
661	1273	650
662	1274	647
663	1276	645
664	1277	643
665	1279	641
666	1280	639
667	1281	636
668	1282	634
669	1284	632
670	1285	630
671	1286	628
672	1288	625
673	1289	623
674	1291	621
675	1292	619
676	1294	617
677	1295	615
678	1296	613
679	1298	610
680	1299	608
681	1300	606
682	1302	604
683	1303	602
684	1305	600
685	1306	598
686	1308	596
687	1309	593
688	1310	591
689	1312	589
690	1313	587
691	1314	585
692	1316	583
693	1318	581
694	1320	579
695	1322	577
696	1323	575
697	1324	573
698	1326	571
699	1327	569
700	1329	567
701	1331	565
702	1332	562
703	1333	560
704	1335	558
705	1336	556
706	1338	554
707	1339	552
708	1341	550
709	1342	548
710	1343	546
711	1344	544
712	1346	541
713	1347	539
714	1349	537
715	1350	535
716	1352	533
717	1353	531
718	1354	529
719	1356	527
720	1357	525
721	1358	523
722	1359	521
723	1361	518
724	1362	516
725	1364	514
726	1365	512
727	1366	510
728	1368	508
729	1369	506
730	1370	504
731	1372	502
732	1373	500
733	1374	498
734	1375	496
735	1377	494
736	1378	492
737	1380	489
738	1381	487
739	1382	485
740	1383	483
741	1385	481
742	1386	479
743	1387	477
744	1389	475
745	1390	473
746	1391	471
747	1393	469
748	1394	467
749	1396	465
750	1397	463
751	1399	461
752	1400	459
753	1401	457
754	1403	455
755	1404	453
756	1405	451
757	1407	449
758	1408	447
759	1409	445
760	1411	443
761	1412	441
762	1413	439
763	1415	437
764	1416	435
765	1417	433
766	1418	431
767	1420	429
768	1421	427
769	1423	425
770	1424	423
771	1425	421
772	1427	419
773	1428	417
774	1429	415
775	1431	413
776	1432	411
777	1433	409
778	1434	407
779	1436	405
780	1437	403
781	1439	401
782	1440	399
783	1442	397
784	1443	395
785	1444	393
786	1446	391
787	1447	389
788	1448	387
789	1449	385
790	1451	383
791	1452	381
792	1453	379
793	1455	377
794	1456	375
795	1458	373
796	1459	371
797	1460	369
798	1462	367
799	1463	365
800	1464	363
801	1465	361
802	1467	360
803	1469	358
804	1470	356
805	1472	354
806	1473	352
807	1474	350
808	1476	348
809	1477	346
810	1478	344
811	1480	342
812	1481	340
813	1483	338
814	1484	337
815	1486	335
816	1487	333
817	1488	331
818	1490	329
819	1491	327
820	1492	325
821	1494	323
822	1495	321
823	1497	319
824	1498	317
825	1499	315
826	1501	314
827	1502	312
828	1503	310
829	1504	308
830	1506	306
831	1507	304
832	1508	302
833	1510	300
834	1511	298
835	1513	296
836	1514	294
837	1515	293
838	1516	291
839	1518	289
840	1519	287
841	1520	285
842	1521	283
843	1523	281
844	1524	279
845	1526	277
846	1527	275
847	1528	274
848	1530	272
849	1531	270
850	1532	268
851	1533	266
852	1535	264
853	1536	262
854	1537	260
855	1539	258
856	1540	257
857	1542	255
858	1543	253
859	1544	251
860	1545	249
861	1547	247
862	1548	245
863	1550	244
864	1551	242
865	1552	240
866	1555	238
867	1557	236
868	1558	235
869	1560	233
870	1561	231
871	1562	229
872	1564	227
873	1565	225
874	1566	223
875	1568	222
876	1570	220
877	1571	218
878	1572	216
879	1574	214
880	1575	212
881	1576	210
882	1578	209
883	1579	207
884	1580	205
885	1582	203
886	1583	201
887	1585	199
888	1586	198
889	1588	196
890	1589	194
891	1591	192
892	1592	190
893	1593	188
894	1594	187
895	1596	185
896	1597	183
897	1599	181
898	1600	179
899	1601	177
900	1603	176
901	1604	174
902	1605	172
903	1607	170
904	1608	168
905	1609	166
906	1611	165
907	1612	163
908	1614	161
909	1615	159
910	1616	157
911	1617	156
912	1619	154
913	1620	152
914	1621	150
915	1622	148
916	1624	147
917	1625	145
918	1627	143
919	1628	141
920	1629	139
921	1631	137
922	1632	136
923	1633	134
924	1634	132
925	1636	130
926	1637	128
927	1639	127
928	1640	125
929	1642	123
930	1643	121
931	1645	120
932	1646	118
933	1647	116
934	1649	114
935	1650	112
936	1652	111
937	1654	109
938	1655	107
939	1657	105
940	1659	104
941	1661	102
942	1663	100
943	1664	98
944	1665	96
945	1667	95
946	1669	93
947	1670	91
948	1672	89
949	1674	88
950	1676	86
951	1677	84
952	1679	82
953	1680	81
954	1682	79
955	1684	77
956	1686	75
957	1688	74
958	1690	72
959	1691	70
960	1693	68
961	1694	66
962	1696	65
963	1698	63
964	1699	61
965	1701	59
966	1703	58
967	1704	56
968	1706	54
969	1707	52
970	1708	51
971	1710	49
972	1711	47
973	1713	45
974	1714	43
975	1716	42
976	1717	40
977	1719	38
978	1720	36
979	1721	35
980	1723	33
981	1724	31
982	1725	29
983	1726	28
984	1728	26
985	1729	24
986	1731	22
987	1732	21
988	1733	19
989	1735	17
990	1736	15
991	1738	14
992	1739	12
993	1740	10
994	1742	8
995	1743	7
996	1745	5
997	1747	3
998	1748	1
999	1750	0
